company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label
MSM_22099,True,13,False,True,False,under_disclosure
MSM_22109,True,9,False,True,False,under_disclosure
MSM_22121,True,13,False,True,False,under_disclosure
MSM_22137,True,14,False,True,False,under_disclosure
MSM_22142,True,3,False,True,False,under_disclosure
MSM_22146,True,12,False,True,False,under_disclosure
MSM_22157,True,3,False,True,False,under_disclosure
MSM_22164,True,10,False,True,False,under_disclosure
MSM_22173,True,17,False,True,False,under_disclosure
MSM_22183,True,3,False,True,False,under_disclosure
MSM_22197,True,1,False,True,False,under_disclosure
MSM_22205,True,9,False,True,False,under_disclosure
MSM_22220,True,2,False,True,False,under_disclosure
MSM_22245,True,11,True,False,False,none
MSM_22247,True,11,False,True,False,under_disclosure
MSM_22256,True,8,False,True,False,under_disclosure
MSM_22261,True,16,True,False,False,none
MSM_22265,True,13,False,True,False,under_disclosure
MSM_22287,True,31,True,False,False,none
MSM_22292,True,1,False,True,False,under_disclosure
MSM_22310,True,7,False,True,False,under_disclosure
MSM_22313,True,11,False,True,False,under_disclosure
MSM_22314,True,8,True,False,False,none
MSM_22315,True,4,False,True,False,under_disclosure
MSM_22324,True,40,False,True,False,under_disclosure
MSM_22327,True,23,False,True,False,under_disclosure
MSM_22328,True,17,False,True,False,under_disclosure
MSM_22332,True,6,False,True,False,under_disclosure
